tabphyname,idxphyname,idxcolsequence,colphyname
chaashto,DI_chaashto_73,1,chkey
chaashto,PK_chaashto,1,chaashtokey
chconsistence,DI_chconsistence_6989,1,chkey
chconsistence,PK_chconsistence,1,chconsistkey
chdesgnsuffix,DI_chdesgnsuffix_78,1,chkey
chdesgnsuffix,PK_chdesgnsuffix,1,chdesgnsfxkey
chfrags,DI_chfrags_87,1,chkey
chfrags,PK_chfrags,1,chfragskey
chorizon,DI_chorizon_19,1,cokey
chorizon,PK_chorizon,1,chkey
chpores,DI_chpores_85,1,chkey
chpores,PK_chpores,1,chporeskey
chstruct,DI_chstruct_6991,1,chstructgrpkey
chstruct,PK_chstruct,1,chstructkey
chstructgrp,DI_chstructgrp_6994,1,chkey
chstructgrp,PK_chstructgrp,1,chstructgrpkey
chtext,DI_chtext_152,1,chkey
chtext,PK_chtext,1,chtextkey
chtexture,DI_chtexture_91,1,chtgkey
chtexture,PK_chtexture,1,chtkey
chtexturegrp,DI_chtexturegrp_92,1,chkey
chtexturegrp,PK_chtexturegrp,1,chtgkey
chtexturemod,DI_chtexturemod_94,1,chtkey
chtexturemod,PK_chtexturemod,1,chtexmodkey
chunified,DI_chunified_95,1,chkey
chunified,PK_chunified,1,chunifiedkey
cocanopycover,DI_cocanopycover_44,1,cokey
cocanopycover,PK_cocanopycover,1,cocanopycovkey
cocropyld,DI_cocropyld_36,1,cokey
cocropyld,PK_cocropyld,1,cocropyldkey
codiagfeatures,DI_codiagfeatures_37,1,cokey
codiagfeatures,PK_codiagfeatures,1,codiagfeatkey
coecoclass,DI_coecoclass_7582,1,cokey
coecoclass,PK_coecoclass,1,coecoclasskey
coeplants,DI_coeplants_40,1,cokey
coeplants,PK_coeplants,1,coeplantskey
coerosionacc,DI_coerosionacc_2006,1,cokey
coerosionacc,PK_coerosionacc,1,coeroacckey
coforprod,DI_coforprod_2289,1,cokey
coforprod,PK_coforprod,1,cofprodkey
coforprodo,DI_coforprodo_2297,1,cofprodkey
coforprodo,PK_coforprodo,1,cofprodokey
cogeomordesc,DI_cogeomordesc_2004,1,cokey
cogeomordesc,PK_cogeomordesc,1,cogeomdkey
cohydriccriteria,DI_cohydriccriteria_7662,1,cokey
cohydriccriteria,PK_cohydriccriteria,1,cohydcritkey
cointerp,DI_cointerp_3627,1,cokey
cointerp,DI_cointerp_7729,1,mrulename
cointerp,DI_cointerp_7730,1,ruledepth
cointerp,PK_cointerp,1,cointerpkey
comonth,DI_comonth_371,1,cokey
comonth,PK_comonth,1,comonthkey
component,DI_component_17,1,mukey
component,PK_component,1,cokey
copm,DI_copm_2008,1,copmgrpkey
copm,PK_copm,1,copmkey
copmgrp,DI_copmgrp_2010,1,cokey
copmgrp,PK_copmgrp,1,copmgrpkey
copwindbreak,DI_copwindbreak_60,1,cokey
copwindbreak,PK_copwindbreak,1,copwindbreakkey
corestrictions,DI_corestrictions_62,1,cokey
corestrictions,PK_corestrictions,1,corestrictkey
cosoilmoist,DI_cosoilmoist_64,1,comonthkey
cosoilmoist,PK_cosoilmoist,1,cosoilmoistkey
cosoiltemp,DI_cosoiltemp_66,1,comonthkey
cosoiltemp,PK_cosoiltemp,1,cosoiltempkey
cosurffrags,DI_cosurffrags_67,1,cokey
cosurffrags,PK_cosurffrags,1,cosurffragskey
cosurfmorphgc,DI_cosurfmorphgc_2569,1,cogeomdkey
cosurfmorphgc,PK_cosurfmorphgc,1,cosurfmorgckey
cosurfmorphhpp,DI_cosurfmorphhpp_2573,1,cogeomdkey
cosurfmorphhpp,PK_cosurfmorphhpp,1,cosurfmorhppkey
cosurfmorphmr,DI_cosurfmorphmr_2574,1,cogeomdkey
cosurfmorphmr,PK_cosurfmorphmr,1,cosurfmormrkey
cosurfmorphss,DI_cosurfmorphss_2576,1,cogeomdkey
cosurfmorphss,PK_cosurfmorphss,1,cosurfmorsskey
cotaxfmmin,DI_cotaxfmmin_2012,1,cokey
cotaxfmmin,PK_cotaxfmmin,1,cotaxfmminkey
cotaxmoistcl,DI_cotaxmoistcl_171,1,cokey
cotaxmoistcl,PK_cotaxmoistcl,1,cotaxmckey
cotext,DI_cotext_151,1,cokey
cotext,PK_cotext,1,cotextkey
cotreestomng,DI_cotreestomng_61,1,cokey
cotreestomng,PK_cotreestomng,1,cotreestomngkey
cotxfmother,DI_cotxfmother_70,1,cokey
cotxfmother,PK_cotxfmother,1,cotaxfokey
distinterpmd,DI_distinterpmd_5475,1,distmdkey
distinterpmd,PK_distinterpmd,1,distinterpmdkey
