tabphyname,colsequence,colphyname,collogname,collabel,logicaldatatype,notnull,fieldsize,precision,minimum,maximum,uom,domainname,coldesc
chaashto,1,aashtocl,aashto_group_classification,AASHTO,Choice,No,254,NA,NA,NA,,aashto_group_classification,"A rating based on a system that classifies soils according to those properties that affect roadway construction and maintenance.  Soils are classified into seven basic groups plus eight subgroups, for a total of fifteen for mineral soils.  Another class for organic soils is used.  The groups are based on determinations of particle-size distribution, liquid limit, and plasticity index.  The group classification, including group index, is useful in determining the relative quality of the soil material for use in earthwork structures, particularly embankments, subgrades, subbases, and bases.  (American Association of State Highway and Transportation Officials)"
chaashto,2,rvindicator,rv_indicator,RV?,Boolean,Yes,3,NA,NA,NA,,,A yes/no field that indicates if a listed AASHTO classification is representative for the horizon.
chaashto,3,chkey,chorizon_key,Chorizon Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Horizon table.  Use this column to join the Horizon AASHTO table to the Horizon table.
chaashto,4,chaashtokey,chor_aashto_key,Chorizon AASHTO Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon AASHTO table.
chconsistence,1,rupresblkmst,rupture_resist_block_moist,Rupture Moist,Choice,No,254,NA,NA,NA,,rupture_resist_block_moist,The rupture resistance of a block-shaped specimen of 25 to 30 mm size and moist water state. (SSM)
chconsistence,2,rupresblkdry,rupture_resist_block_dry,Rupture Dry,Choice,No,254,NA,NA,NA,,rupture_resist_block_dry,The rupture resistance of a block-shaped specimen of 25 to 30 mm size and dry water state. (SSM)
chconsistence,3,rupresblkcem,rupture_resist_block_cem,Rupture Cement,Choice,No,254,NA,NA,NA,,rupture_resist_block_cem,The rupture resistance of a block-like specimen of 25 to 30 mm size that has been air dried and then submerged in water. (SSM)
chconsistence,4,rupresplate,rupture_resist_plate,Rupture Plate,Choice,No,254,NA,NA,NA,,rupture_resist_plate,The rupture resistance of an air dry plate-shaped specimen of specified size. (SSM)
chconsistence,5,mannerfailure,manner_of_failure,Manner of Failure,Choice,No,254,NA,NA,NA,,manner_of_failure,The manner in which soil specimens fail under increasing force. (SSM)
chconsistence,6,stickiness,stickiness,Stickiness,Choice,No,254,NA,NA,NA,,stickiness,The maximum capacity of thoroughly puddled soil to adhere to other objects.
chconsistence,7,plasticity,plasticity,Plasticity,Choice,No,254,NA,NA,NA,,plasticity,"The degree to which a puddled, wet soil mass is permanently deformed without rupturing by a slow continuous application of force in any direction.  (SSM)"
chconsistence,8,rvindicator,rv_indicator,RV?,Boolean,Yes,3,NA,NA,NA,,,A yes/no field that indicates if a set of descriptors of soil consistence is representative for the horizon.
chconsistence,9,chkey,chorizon_key,Chorizon Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Horizon table.  Use this column to join the Horizon Consistence table to the Horizon table.
chconsistence,10,chconsistkey,chor_consistence_key,Chorizon Consistence Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Consistence table.
chdesgnsuffix,1,desgnsuffix,horz_desgn_letter_suffix,Suffix,Choice,No,254,NA,NA,NA,,horz_desgn_letter_suffix,"One of the four kinds of symbols, that when concatenated, are used to distinguish different kinds of layers in soils. Letter suffixes are used to designate subordinate distinctions within master horizons, and layers using lowercase letters.  (SSM)"
chdesgnsuffix,2,chkey,chorizon_key,Chorizon Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Horizon table.  Use this column to join the Horizon Designation Suffix table to the Horizon table.
chdesgnsuffix,3,chdesgnsfxkey,chor_desgn_suffix_key,Chorizon Designation Suffix Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Designation Suffix table.
chfrags,1,fragvol_l,fragment_volume_l,Vol % - Low Value,Integer,No,NA,NA,0,100,percent,,"The volume percentage of the horizon occupied by the 2 mm or larger fraction (20 mm or larger for wood fragments), on a whole soil base."
chfrags,2,fragvol_r,fragment_volume_r,Vol % - Representative Value,Integer,No,NA,NA,0,100,percent,,"The volume percentage of the horizon occupied by the 2 mm or larger fraction (20 mm or larger for wood fragments), on a whole soil base."
chfrags,3,fragvol_h,fragment_volume_h,Vol % - High Value,Integer,No,NA,NA,0,100,percent,,"The volume percentage of the horizon occupied by the 2 mm or larger fraction (20 mm or larger for wood fragments), on a whole soil base."
chfrags,4,fragkind,fragment_kind,Kind,Choice,No,254,NA,NA,NA,,fragment_kind,The lithology/composition of the 2 mm or larger fraction of the soil (20 mm or larger for wood fragments).
chfrags,5,fragsize_l,fragment_size_l,Size - Low Value,Integer,No,NA,NA,2,3e3,millimeters,,Size based on the multiaxial dimensions of the fragment fraction.
chfrags,6,fragsize_r,fragment_size_r,Size - Representative Value,Integer,No,NA,NA,2,3e3,millimeters,,Size based on the multiaxial dimensions of the fragment fraction.
chfrags,7,fragsize_h,fragment_size_h,Size - High Value,Integer,No,NA,NA,2,3e3,millimeters,,Size based on the multiaxial dimensions of the fragment fraction.
chfrags,8,fragshp,fragment_shape,Shape,Choice,No,254,NA,NA,NA,,fragment_shape,A description of the overall shape of the fragment.
chfrags,9,fraground,fragment_roundness,Roundness,Choice,No,254,NA,NA,NA,,fragment_roundness,"An expression of the sharpness of edges and corners of fragments.  (Sedimentary Rocks, Pettijohn, 1957)"
chfrags,10,fraghard,fragment_hardness,Hardness,Choice,No,254,NA,NA,NA,,rupture_resist_block_cem,The hardness of a fragment.
chfrags,11,chkey,chorizon_key,Chorizon Key,String,Yes,30,NA,NA,NA,,,The unique identifier of a record in the Horizon table.  Use this column to join the Horizon Fragments table to the Horizon table.
chfrags,12,chfragskey,chor_fragments_key,Chorizon Fragments Key,String,Yes,30,NA,NA,NA,,,A non-connotative string of characters used to uniquely identify a record in the Horizon Fragments table.
chorizon,1,hzname,horizon_designation,Designation,String,No,12,NA,NA,NA,,,"The full horizon designation, such as Ap, E, or 2Bt2, is shown in this column.  Individual parts of the horizon designation (discontinuity, master horizon, suffixes) are in separate columns. The concatenated string of the individual parts used to distinguish different kinds of layers in the soil.  (Soil Survey Manual)"
chorizon,2,desgndisc,horz_desgn_discontinuity,Disc,Integer,No,NA,NA,2,99,,,"An Arabic numeral used to indicate a significant change in particle-size distribution or mineralogy that indicates a difference in the material from which the horizon(s) formed and/or a significant difference in age, unless that difference in age is indicated by the suffix ""b"".  This numeral is one of four kinds of symbols, that when concatenated, are used to distinguish different kinds of layers in the soil. (Soil Survey Manual)"
chorizon,3,desgnmaster,horz_desgn_master,Master,Choice,No,254,NA,NA,NA,,horz_desgn_master,"One of four kinds of symbols, that when concatenated, are used to distinguish different kinds of layers in soils.  Master horizons and layers are the base symbols to which other characters are added to complete the designations.  Capital letters, virgules (/), the word 'and', and carets (^) are used.   (Soil Survey Manual)"
chorizon,4,desgnmasterprime,horz_desgn_master_prime,Prime,Choice,No,254,NA,NA,NA,,horz_desgn_master_prime,A character used to indicate that this horizon has an identical horizon designation as some overlying horizon.  The two horizons in question are separated by at least one other horizon.
chorizon,5,desgnvert,horz_desgn_vertical_subdvn,Sub,Integer,No,NA,NA,1,NA,,,"One of the four kinds of symbols, when concatenated, are used to distinguish different kinds of layers in soils. Vertical subdivisions are used to subdivide a horizon or layer designated by a single letter or combination of letters."
chorizon,6,hzdept_l,horizon_depth_to_top_l,Top Depth - Low Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the upper boundary of the soil horizon.
chorizon,7,hzdept_r,horizon_depth_to_top_r,Top Depth - Representative Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the upper boundary of the soil horizon.
