musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
10,"Blendon sandy loam, 0 to 3 percent slopes",NA,2,2,NA,NA,NA,None,None,0,3,6,11.64,15.64,Well drained,Well drained,B,NA,85,3,85,Not limited,Not limited,Not limited,Not rated,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Fair,Not rated,Somewhat limited,0.029,Slight,0,0,95357
101,"Ustic Torrifluvents, loamy",NA,2,2,NA,NA,NA,None,None,0,1.6,5.6,13.6,21.6,Well drained,Well drained,B,2,85,3,85,Not limited,Not limited,Not limited,Not rated,Somewhat limited,Not rated,Not rated,Somewhat limited,Somewhat limited,Somewhat limited,Fair,Not rated,Not rated,NA,Slight,0,NA,95359
11,"Bresser sandy loam, cool, 0 to 3 percent slopes",NA,2,2,NA,NA,NA,None,None,0,2.79,5.67,10.78,13.43,Well drained,Well drained,B,3,95,4,95,Not limited,Not limited,Not limited,Not limited,Somewhat limited,Not limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.077,Slight,0,0.095,95368
12,"Bresser sandy loam, cool, 3 to 5 percent slopes",NA,4,4,NA,NA,NA,None,None,0,2.79,5.67,10.78,13.43,Well drained,Well drained,B,3,100,4,85,Not limited,Not limited,Not limited,Not limited,Somewhat limited,Not limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.057,Slight,0,0.095,95370
13,"Bresser sandy loam, cool, 5 to 9 percent slopes",NA,7,7,NA,NA,NA,None,None,0,2.83,5.84,11.21,14,Well drained,Well drained,B,4,95,4,95,Not limited,Not limited,Not limited,Not limited,Somewhat limited,Not limited,Somewhat limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.085,Moderate,0,0.023,95371
16,"Chaseville gravelly sandy loam, 1 to 8 percent slopes",NA,5,5,NA,NA,NA,None,None,0,1.85,3.04,4.04,6,Somewhat excessively drained,Somewhat excessively drained,A,NA,85,6,85,Not limited,Not limited,Not limited,Not rated,Very limited,Not rated,Very limited,Very limited,Very limited,Not limited,Fair,Not rated,Somewhat limited,0.007,Moderate,0,1,95374
17,"Chaseville gravelly sandy loam, 8 to 40 percent slopes",NA,24,24,NA,NA,NA,None,None,0,1.85,3.04,4.04,6,Somewhat excessively drained,Somewhat excessively drained,A,NA,85,6,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Somewhat limited,0.98,Severe,0,1,95375
18,Chaseville-Midway complex,NA,29,25.9,33,NA,NA,None,None,0,2.39,3.6,4.38,5.91,Somewhat excessively drained,Well drained,A,NA,90,6,70,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Very limited,0.845,Severe,0,1,95376
2,"Ascalon sandy loam, 1 to 3 percent slopes",NA,2,2,NA,NA,NA,None,None,0,3.5,7,12.76,17.76,Well drained,Well drained,B,3,85,4,85,Not limited,Not limited,Not limited,Not rated,Somewhat limited,Not rated,Not rated,Very limited,Very limited,Somewhat limited,Fair,Not rated,Somewhat limited,0.085,Slight,0,0,95378
20,"Connerton-Rock outcrop complex, 8 to 90 percent slopes",NA,19,33.1,0,NA,NA,None,None,0,1.92,3.77,7.48,11.19,Well drained,Well drained,B,NA,85,6,45,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Somewhat limited,0.32,Severe,0,1,95379
28,"Ellicott loamy coarse sand, 0 to 5 percent slopes",NA,3,3,NA,NA,NA,Frequent,Frequent,0,1.65,3.4,6.9,10.4,Somewhat excessively drained,Somewhat excessively drained,A,NA,85,7,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Somewhat limited,0.82,Slight,0,1,95387
29,"Fluvaquentic Haplaquolls, nearly level",NA,1,1,NA,31,31,Frequent,Frequent,0,NA,2.6,9.1,15.6,Poorly drained,Poorly drained,D,NA,85,5,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Not rated,Not rated,Very limited,Not rated,Not rated,Not rated,NA,Slight,85,NA,95388
3,"Ascalon sandy loam, 3 to 9 percent slopes",NA,6,6,NA,NA,NA,None,None,0,2.84,5.83,11.82,17.8,Well drained,Well drained,B,6,100,6,100,Not limited,Not limited,Not limited,Not limited,Not limited,Not limited,Somewhat limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Somewhat limited,0.091,Moderate,0,0.023,95389
32,"Fortwingate-Rock outcrop complex, 15 to 60 percent slopes",NA,28,32.3,0,NA,NA,None,None,0,2.23,4.37,5.06,5.06,Well drained,Well drained,C,NA,70,7,40,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Severe,0,1,95392
33,"Heldt clay loam, 0 to 3 percent slopes",NA,2,2,NA,NA,NA,None,None,0,4.6,8.6,16.6,25.98,Well drained,Well drained,C,3,85,4,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Not limited,Not limited,Very limited,Poor,Not rated,Somewhat limited,0.498,Slight,0,1,95393
38,"Jarre-Tecolote complex, 8 to 65 percent slopes",NA,19,26.7,NA,NA,NA,None,None,0,2.13,4.5,7.77,10.54,Well drained,Well drained,B,NA,70,6,40,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Somewhat limited,0.611,Severe,0,1,95398
44,"Kutch clay loam, 3 to 5 percent slopes",NA,4,4,91,NA,NA,None,None,0,4.5,8.5,15.66,15.66,Well drained,Well drained,C,4,85,4,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.301,Slight,0,1,95405
45,"Kutch clay loam, 5 to 20 percent slopes",NA,13,13,91,NA,NA,None,None,0,4.5,8.5,15.66,15.66,Well drained,Well drained,C,NA,85,6,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.301,Moderate,0,1,95406
46,"Kutler-Broadmoor-Rock outcrop complex, 25 to 90 percent slopes",NA,45,50.1,0,NA,NA,None,None,0,1.07,2.04,2.59,2.59,Somewhat excessively drained,Somewhat excessively drained,C,NA,95,7,65,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Very limited,1,Severe,0,1,95407
47,"Limon clay, 0 to 3 percent slopes",NA,2,2,NA,NA,NA,Occasional,Occasional,0,3.75,7.9,16.4,24.9,Well drained,Well drained,C,3,85,4,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.5,Slight,0,1,95408
48,"Louviers silty clay loam, 3 to 18 percent slopes",NA,11,11,36,NA,NA,None,None,0,4.13,5.89,5.89,5.89,Well drained,Well drained,D,NA,85,6,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.392,Severe,0,1,95409
50,"Manvel loam, 3 to 9 percent slopes",NA,6,6,NA,NA,NA,None,None,0,4,8,16,24,Well drained,Well drained,B,NA,90,6,90,Not limited,Not limited,Not limited,Not rated,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.375,Moderate,0,0.296,95412
53,"Manzanola clay loam, 3 to 9 percent slopes",NA,6,6,NA,NA,NA,None,None,0,4.55,8.8,17.11,25.11,Well drained,Well drained,C,NA,85,6,85,Very limited,Somewhat limited,Not rated,Not rated,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.393,Moderate,0,1,95415
54,"Midway clay loam, 3 to 25 percent slopes",NA,14,14,33,NA,NA,None,None,0,4.3,5.58,5.58,5.58,Well drained,Well drained,D,NA,85,7,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.477,Severe,0,1,95416
56,"Nelson-Tassel fine sandy loams, 3 to 18 percent slopes",NA,8,9.2,25,NA,NA,None,None,0,3.06,4.86,5.43,5.43,Well drained,Well drained,B,4,45,6,75,Not limited,Somewhat limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Not limited,Fair,Not rated,Somewhat limited,0.061,Moderate,0,1,95418
59,"Nunn clay loam, 0 to 3 percent slopes",NA,2,2,NA,NA,NA,None,None,0,4.75,9.1,17.12,24.59,Well drained,Well drained,C,2,85,3,85,Somewhat limited,Somewhat limited,Not rated,Not rated,Very limited,Not rated,Very limited,Not limited,Not limited,Very limited,Poor,Not rated,Somewhat limited,0.323,Slight,0,1,95421
63,"Paunsaugunt-Rock outcrop complex, 15 to 65 percent slopes",NA,33,36.1,0,NA,NA,None,None,0,1.39,2.09,2.09,2.09,Somewhat excessively drained,Somewhat excessively drained,D,NA,90,7,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Severe,0,1,95426
64,"Penrose-Manvel complex, 3 to 45 percent slopes",NA,28,20.9,28,NA,NA,None,None,0,3.38,5.1,8.1,11.1,Well drained,Well drained,D,NA,80,7,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Severe,0,0.736,95427
