areaovacres,lareaovkey,mukey,muareaovkey
NA,342932,95466,20091963
404,342934,95466,20091980
NA,342940,95466,20092141
72781,342932,95463,20091954
NA,342934,95463,20091981
NA,342936,95463,20092066
NA,342937,95463,20092107
NA,342938,95463,20092108
72781,342939,95463,20092112
72781,342940,95463,20092121
NA,342932,95462,20091955
NA,342936,95462,20092098
NA,342940,95462,20092138
NA,342932,95461,20091956
NA,342936,95461,20092099
NA,342940,95461,20092137
NA,342932,95460,20091957
5433,342934,95460,20091982
NA,342940,95460,20092148
NA,342940,2766576,20092120
NA,342935,2766576,20092059
NA,342932,2766576,20091966
NA,342940,2766575,20092119
NA,342935,2766575,20092058
NA,342932,2766575,20091857
NA,342940,2738801,20092130
NA,342935,2738801,20092057
NA,342932,2738801,20091856
NA,342940,2738799,20092128
NA,342935,2738799,20092055
NA,342932,2738799,20091854
NA,342940,2520932,20092131
182,342934,2520932,20091979
NA,342932,2520932,20091961
NA,342932,95450,20091943
6080,342934,95450,20092028
NA,342940,95450,20092150
NA,342932,95449,20091944
5363,342934,95449,20092029
NA,342940,95449,20092149
NA,342932,95448,20091945
8807,342934,95448,20092030
NA,342940,95448,20092160
NA,342932,95447,20091946
16665,342935,95447,20092050
NA,342940,95447,20092159
NA,342932,95445,20091936
NA,342936,95445,20092093
NA,342940,95445,20092157
NA,342932,95444,20091937
68368,342934,95444,20092032
NA,342940,95444,20092156
NA,342932,95442,20091939
NA,342936,95442,20092095
NA,342940,95442,20092166
NA,342932,95439,20091930
33643,342935,95439,20092051
NA,342936,95439,20092096
NA,342940,95439,20092163
NA,342932,95438,20091931
3454,342935,95438,20092052
NA,342936,95438,20092097
NA,342940,95438,20092162
NA,342932,95437,20091932
NA,342936,95437,20092086
NA,342940,95437,20092161
NA,342932,95434,20091935
141,342934,95434,20092024
NA,342936,95434,20092087
NA,342940,95434,20092170
NA,342932,95427,20091918
3211,342935,95427,20092053
NA,342940,95427,20092175
NA,342932,95426,20091919
1403,342933,95426,20091975
NA,342940,95426,20092174
NA,342932,95421,20091922
7686,342934,95421,20092018
NA,342940,95421,20092183
NA,342932,95418,20091913
NA,342936,95418,20092090
NA,342940,95418,20092180
NA,342932,95416,20091915
8746,342935,95416,20092043
NA,342940,95416,20092190
NA,342932,95415,20091916
2222,342935,95415,20092044
NA,342936,95415,20092091
NA,342940,95415,20092189
NA,342932,95409,20091908
2565,342934,95409,20092011
NA,342940,95409,20092185
NA,342932,95408,20091909
10211,342935,95408,20092046
NA,342940,95408,20092196
NA,342932,95407,20091910
9696,342933,95407,20091976
NA,342940,95407,20092195
NA,342932,95406,20091911
2050,342934,95406,20092012
NA,342936,95406,20092082
NA,342940,95406,20092194
