recdate,mapunittextkind,textcat,textsubcat,text,mukey,mutextkey
01/26/2016 00:00:00,Miscellaneous notes,minor componants,,"Minor componants listed in El Paso County Soil Survey:
Bresser loam
Ascalon sandy loam 
Truckton sandy loam
Yoder gravelly sandy loam

Bresser loam and Ascalon sandy loam were not used in this map unit.  Truckton and Yoder
would have wider interp variations than the Bresser loam, Ascalon has secondary carbonates,
the parent materials are alluvium from arkosic sand with very little if any carbonates.  

Platner is a minor componant in the DMU, Platner is not on the El Paso County legend nor is
it mentioned in the soil survey manual.",95368,1499053
02/19/2016 00:00:00,Map unit description,map unit concept,,"Map Unit Concept Description:  This very deep, well drained soil formed in tertiary aged
alluvium derived from arkose on plains and broad flat interfluves.  Elevation ranges from
1783 meters to 2,097 meters.  The average annual precipitation ranges from 381 to 483mm,
the average annual air temperature is 9 to 11 degrees C, and the annual frost free period 
is 100 to 130 days.
  Included with this soil in mapping are small areas of Truckton sandy loam, and Yoder
  gravelly sandy loam, 1 to 8 percent
  Permeability of this Bresser soil is moderate.  Effective rooting depth is 203cm or more.
  Available water capacity is moderate.  Surface runoff is slow, the hazard of erosion is
  slight to moderate, and the hazard of soil blowing is moderate.  Most area of this soil 
  are cultivated.

 
Component concept:

The Bresser series consists of a very deep, well drained soils that formed in alluvium
derived from arkosic deposits.  These soils are on plains and broad flat interfluves.  They have
slopes of 0 to 20 percent.  Average annual precipitation is about 432mm and average annual
air temperatureis about 10 degrees C.  
  Bresser soils are similar to Ascalon and Satanta soils and are near Blakeland and Truckton
  soils.  Ascalon and Satanta soils are calcareous in part of the solum and in the C
  horizon.  Blakeland soils do not have a Bt horizon and are coarse textured throughout.
  Truckton soils have a Bt horizon that is less that 18 percent clay.
  The Bresser series classifies as a fine-loamy, mixed, superactive, mesic Aridic Argiustolls.
  Thickness of the mollic ranges from 18 to 27cm.  Depth to the base of the argillic horizon 
  ranges from 78 to 104cm.    Depth to the sandy textured C horizon ranges from 78 to 104cm.
Ecological site is Sandy Foothill.  
Bresser makes up about 85 percent of the unit.

The Truckton series consists of a very deep, well drained soils formed in alluvium from 
arkosic deposits. These soils are on plains and broad flat interfluves and terraces.  
  Truckton soils are similar to Bresser and Bijou soils.  They are near Bresser and Blakeland
  soils.  Bresser soils have a Bt horizon that is 18 to 35 percent clay.  Bijou soils do not
  have a mollic epipedon.  Blakeland soils do not have a Bt horizon.
  The Truckton series classifies as a coarse-loamy, mixed, superactive, mesic Aridic Argiustolls.  
Ecological site is Sandy Foothill.
Tructon makes up about 10 percent of the unit.

The Yoder series consists of very deep, well drained soils that formed in noncalcareous
alluvium derived from arkosic deposits.  These soils are on plains and broad flat interfluves.
Yoder soils are near Bresser and Truckton soils.   Bresser and Truckton soils have a dark
colored surface layer.  Yoder series classifies as fine-loamy over sandy/sandy-skeletal, 
mixed, superactive, mesic Ustic Haplargids.
    Depth to the contrasting C horizon is 26 to 61cm.  Depth to the argillic horizon is
  11 to 21cm.  Rock fragments in the solum range from 0 to 35 percent and rock fragment 
  in the 2C horizon range from 35 to 80 percent.
Ecological site is Gravelly Foothill.
Yoder makes up about 5 percent of the unit.

",95368,1499054
02/19/2016 00:00:00,Miscellaneous notes,SDJR project,DMU,"This datamapunit is being created on 2/19/2016 to be used for the map unit Bresser sandy loam, 0 to 3 percent slopes, as it occurs in two counties, one in MLRA 49 and one in 67B.  In those two counties there are currently two datamapunits correlated to this map unit.  This datamapunit was created by editing a copy of DMUID RECID 681227,  which had previously been edited and had most properties populated and passed validations.  All data elements including MAP, MAAT, and FFD are being reviewed in the context of using the datamapunit across MLRA 49 and 67B.  A major editing emphasis is being placed on the composition of minor components and their percentages.  Minor components are being reviewed and edited and will pass all validations and requirements of National Bulletin 430-5-7. MJM 

",95368,1499055
02/18/2016 00:00:00,Miscellaneous notes,SDJR Project,,This Data Map Unit covers El Paso County Colorado in MLRA 49 as well as part of Elbert County East Colorado in MLRA 67B.,95368,1499056
01/25/2016 00:00:00,Miscellaneous notes,SDJR Project,,"This Data Map Unit covers El Paso County Colorado in MLRA 49 as well as part of Elbert County, Colorado, Eastern Part in MLRA 67B.",95370,1499057
01/25/2016 00:00:00,Miscellaneous notes,SDJR project,DMU,"This datamapunit is being created on 12/20/2016 to be used for the map unit Bresser sandy loam, 3 to 5 percent slopes, as it occurs in two counties in MLRA 49 and 67B.  In those two counties there are currently two datamapunits correlated to this map unit.  This datamapunit was created by editing a copy of DMUID RECID 681227,  which had previously been edited and had most properties populated and passed validations.  All data elements including MAP, MAAT, and FFD are being reviewed in the context of using the datamapunit across MLRA 49 and 67B.  A major editing emphasis is being placed on the composition of minor components and their percentages.  Minor components are being reviewed and edited and will pass all validations and requirements of National Bulletin 430-5-7. MJM 

",95370,1499058
01/26/2016 00:00:00,Miscellaneous notes,minor componants,,"Minor componants listed in El Paso County Soil Survey:
Bresser loam
Ascalon sandy loam 
Truckton sandy loam
Yoder gravelly sandy loam

Bresser loam and Ascalon sandy loam were not used in this map unit.  Truckton and Yoder
would have wider interp variations than the Bresser loam, Ascalon has secondary carbonates,
the parent materials are alluvium from arkosic sand with very little if any carbonates.  

Platner is a minor componant in the DMU, Platner is not on the El Paso County legend nor is
it mentioned in the soil survey manual.",95370,1499059
01/25/2016 00:00:00,Map unit description,map unit concept,,"DMU ID: MLRA 49/67B - Bresser sandy loam,cool, 3-5 percent slopes 
NAT SYM: 2tlpd
Ecological Site: Sandy Foothill




  
  Map Unit Concept Description:  This very deep, well drained soil formed in tertiary aged alluvium and derived from arkose
  on foothills and interfluves.  Elevation ranges from 1920 meters to 2,072 meters.  The average annual precipitation 
  ranges from 330 to 483mm, the average annual air temperature is 7.8 to 10 degrees C, and the annual frost free period is 
  125 to 140 days.
  Included with this soil in mapping are small areas of Truckton sandy loam, and Yoder gravelly sandy loam, 1 to 8 percent
  Permeability of this Bresser soil is moderate.  Effective rooting depth is 203cm or more.  Available water capacity is moderate.
  Surface runoff is slow, the hazard of erosion is slight to moderate, and the hazard of soil blowing is moderate.  Most area of 
  this soil are cultivated.

 
Component concept:

The Bresser series consists of a very deep, well drained soils that formed in alluvium derived from arkosic deposits. 
These soils are on foothills and interfluves.  They have slopes of 0 to 20 percent.  Average annual precipitation is about 
381mm and average annual air temperatureis about 8.3 degrees C.  
  Bresser soils are similar to Ascalon and Satanta soils and are near Blakeland and Truckton soils.  Ascalon and Satanta
  soils are calcareous in part of the solum and in the C horizon.  Blakeland soils do not have a Bt horizon and are coarse
  textured throughout.  Truckton soils have a Bt horizon that is less that 18 percent clay.
   The Bresser series classifies as a fine-loamy, mixed, superactive, mesic Aridic Argiustolls.  Thickness of the mollic
   ranges from 18 to 41cm.  Depth to the base of the argillic horizon ranges from 78 to 104cm.    Depth to the sandy
   textured C horizon ranges from 78 to 104cm.
Ecological site is Sandy Foothill.  
Bresser makes up about 85 percent of the unit.

The Truckton series consists of a very deep, well drained soils formed in alluvium from arkosic deposits. These soils
are on plains and broad flat interfluves and terraces.  
  Truckton soils are similar to Bresser and Bijou soils.  They are near Bresser and Blakeland soils.  Bresser soils have 
  a Bt horizon that is 18 to 35 percent clay.  Bijou soils do not have a mollic epipedon.  Blakeland soils do not have
  a Bt horizon.
  The Truckton series classifies as a coarse-loamy, mixed, superactive, mesic Aridic Argiustolls.  
Ecological site is Sandy Foothill.
Tructon makes up about 10 percent of the unit.

The Yoder series consists of very deep, well drained soils that formed in noncalcareous alluvium derived from arkosic deposits.
These soils are on plains and broad flat interfluves.
Yoder soils are near Bresser and Truckton soils.   Bresser and Truckton soils have a dark colored surface layer.  Yoder series
classifies as fine-loamy over sandy/sandy-skeletal, mixed, superactive, mesic Ustic Haplargids.
    Depth to the contrasting C horizon is 26 to 61cm.  Depth to the argillic horizon is
  11 to 21cm.  Rock fragments in the solum range from 0 to 35 percent and rock fragment in the 2C horizon range from 35 to 80 percent.
Ecological site is Gravelly Foothill.
Yoder makes up about 5 percent of the unit.


 

",95370,1499060
02/29/2016 00:00:00,Map unit description,map unit concept,,"Map Unit Concept Description:  This very deep, well drained soil formed in
tertiary aged alluvium and or residuum derived from arkose on hills, interfluves
and terraces.  Elevation ranges from 1676 meters to 2,121 meters.  The average
annual precipitation ranges from 381 to 483mm, the average annual air temperature
is 9 to 11 degrees C, and the annual frost free period is 100 to 130 days.
  Included with this soil in mapping are small areas of Truckton sandy loam,
  and Ascalon sandy loam.
  Permeability of this Bresser soil is moderate.  Effective rooting depth is
  203cm or more.  Available water capacity is moderate.  Surface runoff is
  medium, the hazard of erosion is slight to moderate, and the hazard of soil
  blowing is moderate.  ",95371,1499061
02/29/2016 00:00:00,Miscellaneous notes,minor components,,"Reasons for minor componants:

Minor componants per survey area:
CO622: Bresser sandy loam, 1-3% slopes, Truckton, Aquic Haplustolls, loamy alluvial land
CO623: Bresser sandy loam, 0-4% slopes, Ascalon, Truckton
CO625: Pleasant, other soils

Minor componants for this DMU and MU: Ascalon and Truckton.

Miscelanious soils were not used.  Putting lines on a map exactly where they need to go is very difficult,
slope overlaps are a given.  The Pleasant soil from El Paso county is not on the CO625 legend, it was not used.
",95371,1499062
