"","site_no","Date","agency_cd","PRCP","SNOW","SNWD"
"1","US1CASB0001",2009-09-01,"NOAA",NA,NA,NA
"2","US1CASB0001",2009-09-02,"NOAA",NA,NA,NA
"3","US1CASB0001",2009-09-03,"NOAA",NA,NA,NA
"4","US1CASB0001",2009-09-04,"NOAA",NA,NA,NA
"5","US1CASB0001",2009-09-05,"NOAA",0,0,NA
"6","US1CASB0001",2009-09-06,"NOAA",0,0,NA
"7","US1CASB0001",2009-09-07,"NOAA",0,0,NA
"8","US1CASB0001",2009-09-08,"NOAA",0,0,NA
"9","US1CASB0001",2009-09-09,"NOAA",0,0,NA
"10","US1CASB0001",2009-09-10,"NOAA",0,0,NA
"11","US1CASB0001",2009-09-11,"NOAA",0,0,NA
"12","US1CASB0001",2009-09-12,"NOAA",0,0,NA
"13","US1CASB0001",2009-09-13,"NOAA",0,0,NA
"14","US1CASB0001",2009-09-14,"NOAA",0,0,NA
"15","US1CASB0001",2009-09-15,"NOAA",0,0,NA
"16","US1CASB0001",2009-09-16,"NOAA",0,0,NA
"17","US1CASB0001",2009-09-17,"NOAA",0,0,NA
"18","US1CASB0001",2009-09-18,"NOAA",0,0,NA
"19","US1CASB0001",2009-09-19,"NOAA",0,0,NA
"20","US1CASB0001",2009-09-20,"NOAA",0,0,NA
"21","US1CASB0001",2009-09-21,"NOAA",0,0,NA
"22","US1CASB0001",2009-09-22,"NOAA",0,0,NA
"23","US1CASB0001",2009-09-23,"NOAA",0,0,NA
"24","US1CASB0001",2009-09-24,"NOAA",0,0,NA
"25","US1CASB0001",2009-09-25,"NOAA",0,0,NA
"26","US1CASB0001",2009-09-26,"NOAA",0,0,NA
"27","US1CASB0001",2009-09-27,"NOAA",0,0,NA
"28","US1CASB0001",2009-09-28,"NOAA",0,0,NA
"29","US1CASB0001",2009-09-29,"NOAA",0,0,NA
"30","US1CASB0001",2009-09-30,"NOAA",0,0,NA
"31","US1CASB0001",2009-10-01,"NOAA",0,0,NA
"32","US1CASB0001",2009-10-02,"NOAA",0,0,NA
"33","US1CASB0001",2009-10-03,"NOAA",0,0,NA
"34","US1CASB0001",2009-10-04,"NOAA",0,0,NA
"35","US1CASB0001",2009-10-05,"NOAA",0,0,NA
"36","US1CASB0001",2009-10-06,"NOAA",0,0,NA
"37","US1CASB0001",2009-10-07,"NOAA",0,0,NA
"38","US1CASB0001",2009-10-08,"NOAA",0,0,NA
"39","US1CASB0001",2009-10-09,"NOAA",0,0,NA
"40","US1CASB0001",2009-10-10,"NOAA",NA,NA,NA
"41","US1CASB0001",2009-10-11,"NOAA",NA,NA,NA
"42","US1CASB0001",2009-10-12,"NOAA",0,0,NA
"43","US1CASB0001",2009-10-13,"NOAA",25,NA,NA
"44","US1CASB0001",2009-10-14,"NOAA",889,NA,NA
"45","US1CASB0001",2009-10-15,"NOAA",91,NA,NA
"46","US1CASB0001",2009-10-16,"NOAA",0,0,NA
"47","US1CASB0001",2009-10-17,"NOAA",0,0,NA
"48","US1CASB0001",2009-10-18,"NOAA",0,0,NA
"49","US1CASB0001",2009-10-19,"NOAA",0,0,NA
"50","US1CASB0001",2009-10-20,"NOAA",0,0,NA
"51","US1CASB0001",2009-10-21,"NOAA",0,0,NA
"52","US1CASB0001",2009-10-22,"NOAA",0,0,NA
"53","US1CASB0001",2009-10-23,"NOAA",0,0,NA
"54","US1CASB0001",2009-10-24,"NOAA",0,0,NA
"55","US1CASB0001",2009-10-25,"NOAA",0,0,NA
